Customer_ID,Age,Annual_Income,Monthly_Spend,Purchase_Freq,Tenure_Years,Gender,Region,Category_Pref
C1456,48,101870,90.67,9.8,8.7,Male,South,Home
C1457,24,27564,23.15,2.5,1.1,Female,West,Grocery
C1458,31,61585,59.27,4.1,3.1,Female,North,Electronics
C1459,49,77670,49.02,4.7,6.3,Male,East,Sports
C1460,39,50640,36.38,1.7,3.9,Male,West,Electronics
C1461,45,81585,58.35,6.8,3.3,Male,South,Sports
C1462,26,28650,20.63,3.6,1.3,Female,South,Home
C1463,44,77342,59.94,9.7,5.9,Male,West,Grocery
C1464,47,64189,66.23,9.4,3.8,Male,North,Grocery
C1465,49,76965,73.37,10.8,5.7,Female,North,Grocery
C1466,54,59842,73.69,10.6,3.0,Male,East,Sports
C1467,35,46115,24.68,8.4,1.4,Female,South,Grocery
C1468,24,37480,35.31,2.7,1.3,Male,West,Electronics
C1469,20,30236,32.59,1.4,2.4,Male,North,Grocery
C1470,50,80906,65.48,8.1,6.3,Male,East,Home
C1471,53,69445,37.97,12.6,5.9,Female,South,Electronics
C1472,29,31688,15.6,2.8,0.3,Male,South,Grocery
C1473,32,21692,6.65,1.2,0.5,Female,East,Grocery
C1474,41,69839,79.88,8.9,3.5,Female,East,Fashion
C1475,43,73131,64.62,8.0,4.5,Female,North,Sports
C1476,24,57048,65.13,3.9,3.0,Male,West,Electronics
C1477,52,94956,84.04,14.9,6.9,Male,South,Fashion
C1478,41,78824,82.86,9.2,4.2,Male,West,Home
C1479,23,29221,23.17,2.8,0.6,Male,South,Sports
C1480,46,77237,80.6,8.6,3.0,Male,South,Electronics
C1481,46,75822,55.86,8.6,4.2,Female,West,Grocery
C1482,23,31448,26.17,3.0,1.4,Male,East,Electronics
C1483,46,67728,99.79,7.8,6.0,Male,North,Grocery
C1484,31,52848,37.33,6.4,3.0,Male,South,Sports
C1485,25,26686,19.81,2.8,1.7,Female,East,Grocery
C1486,31,41379,75.96,5.4,3.9,Male,South,Home
C1487,51,70602,77.27,9.3,7.7,Female,North,Grocery
C1488,54,78801,75.62,6.0,6.8,Male,South,Home
C1489,57,93809,56.66,11.0,9.4,Female,North,Sports
C1490,28,44639,53.41,3.9,1.5,Female,North,Sports
C1491,36,52523,50.29,9.9,2.3,Male,South,Electronics
C1492,35,55445,44.23,6.1,3.7,Male,South,Home
C1493,26,20646,16.26,1.4,1.7,Male,North,Home
C1494,64,99224,110.64,15.8,6.3,Male,East,Fashion
C1495,43,79296,70.83,5.2,7.6,Female,West,Fashion
C1496,30,33163,17.43,2.0,0.3,Female,North,Fashion
C1497,22,41353,36.61,3.1,0.1,Female,South,Grocery
C1498,49,75961,62.38,7.6,4.4,Female,South,Fashion
C1499,26,21106,15.01,3.3,0.8,Male,East,Home
