Customer_ID,Age,Annual_Income,Monthly_Spend,Purchase_Freq,Tenure_Years,Gender,Region,Category_Pref,Cluster,Segment,PCA1,PCA2
C1233,37,48133,36.54,9.2,0.4,Male,South,Sports,2,Occasional Buyers,-0.9995615417138256,1.1231000811671066
C1234,57,92105,85.56,6.7,6.2,Female,East,Home,3,Regular Customers,1.9982651479807543,-0.9936587327288534
C1235,37,55851,74.28,6.0,2.0,Female,West,Home,2,Occasional Buyers,-0.3321344105266379,-0.4723847462471755
C1236,39,83204,71.9,10.1,2.2,Male,South,Grocery,3,Regular Customers,0.7120357450313808,0.37401037038348356
C1237,18,28077,8.29,2.5,0.7,Female,North,Home,1,Budget Shoppers,-3.2511166452977722,0.15493169536235638
C1238,37,50001,38.02,6.1,5.0,Male,North,Sports,2,Occasional Buyers,-0.5616858649824137,-0.07457824526216238
C1239,40,92945,61.86,11.8,7.2,Female,East,Home,3,Regular Customers,1.7544540398578172,0.36729766297161764
C1240,25,31399,26.96,3.9,1.0,Male,West,Sports,1,Budget Shoppers,-2.415293538861848,0.09067202302710332
C1241,40,95102,51.73,8.2,6.9,Male,East,Fashion,3,Regular Customers,1.1610948644287677,-0.1859106058167784
C1242,35,69499,59.83,7.1,2.9,Male,West,Sports,2,Occasional Buyers,-0.12292655734043924,-0.10120233763262118
C1243,49,69771,62.84,11.8,4.4,Female,West,Electronics,3,Regular Customers,1.2136978072128919,0.747212420335652
C1244,48,81099,96.79,13.5,9.7,Female,East,Electronics,0,Premium Loyalists,3.0043466675349113,-0.13927142542970375
C1245,27,25719,18.43,3.1,1.7,Male,South,Electronics,1,Budget Shoppers,-2.573720026716668,0.027029858077468705
C1246,72,107883,89.69,6.1,10.1,Female,East,Grocery,0,Premium Loyalists,3.451044903362787,-1.5979556093764564
C1247,57,97500,70.07,14.4,8.0,Female,East,Grocery,0,Premium Loyalists,3.011808513729203,0.7448195605732804
C1248,42,69018,43.82,9.0,3.2,Female,North,Grocery,3,Regular Customers,0.11466409112728616,0.6091346210998555
C1249,24,39547,27.4,2.4,0.9,Female,North,Sports,1,Budget Shoppers,-2.480759743179355,-0.25272917204991263
C1250,33,56202,48.35,6.4,2.9,Female,East,Grocery,2,Occasional Buyers,-0.7159350050978676,-0.01022187808845041
C1251,24,31692,17.21,3.2,1.0,Female,East,Fashion,1,Budget Shoppers,-2.690652484006589,0.12042106260179901
C1252,18,35718,26.8,2.2,0.8,Female,North,Electronics,1,Budget Shoppers,-2.8152852022187815,-0.2899727702131947
C1253,48,79591,72.62,7.5,4.6,Male,West,Sports,3,Regular Customers,1.062365006221587,-0.41112925982036186
C1254,45,64958,61.8,10.9,2.7,Male,East,Electronics,3,Regular Customers,0.5884915844159373,0.7527764661186086
C1255,42,81206,60.36,7.6,5.7,Male,South,Grocery,3,Regular Customers,0.8587243646292494,-0.3061315993580824
C1256,60,93856,68.42,6.6,10.0,Female,South,Sports,0,Premium Loyalists,2.444572386326638,-1.0939112520016177
C1257,46,63772,71.55,7.9,5.7,Female,South,Home,3,Regular Customers,0.9005764253087724,-0.3949538043264216
C1258,25,41318,48.72,5.5,2.4,Male,East,Fashion,2,Occasional Buyers,-1.4556557211516121,-0.15469419072461127
C1259,51,79981,84.33,9.3,7.9,Female,West,Grocery,0,Premium Loyalists,2.1090036774982597,-0.5933930045280281
C1260,62,89572,77.82,15.4,7.5,Male,West,Grocery,0,Premium Loyalists,3.2088351389567786,0.9072787590337107
C1261,69,89645,65.87,11.9,8.6,Male,North,Fashion,0,Premium Loyalists,3.031146335313225,0.29309869680558
C1262,41,72524,70.9,8.9,3.3,Female,East,Fashion,3,Regular Customers,0.6055108471523336,0.050189770227260885
C1263,45,94210,75.02,17.9,7.3,Male,West,Home,0,Premium Loyalists,2.897023366842961,1.4346591315428145
C1264,28,25680,25.08,4.0,0.6,Male,East,Grocery,1,Budget Shoppers,-2.498711356941744,0.21790256855362433
C1265,22,33776,21.58,2.9,0.9,Female,North,Grocery,1,Budget Shoppers,-2.700088980799246,-0.029651781178801028
C1266,27,31272,22.09,2.2,0.8,Female,North,Electronics,1,Budget Shoppers,-2.656189770950449,-0.151244958285176
C1267,43,54720,43.67,10.3,1.2,Male,North,Sports,2,Occasional Buyers,-0.2880354372724398,1.1469730808726244
C1268,31,63732,55.24,7.1,3.5,Female,South,Sports,2,Occasional Buyers,-0.35451040587859267,-0.08256861136480691
C1269,41,77715,64.91,8.7,5.1,Female,East,Electronics,3,Regular Customers,0.8656572992249298,-0.08706128758554259
C1270,40,86883,92.39,7.4,5.4,Male,North,Sports,3,Regular Customers,1.3623193927464747,-0.9465524485269775
C1271,20,28369,6.08,3.9,0.9,Male,East,Fashion,1,Budget Shoppers,-3.0183718802077806,0.48358155090202565
C1272,33,54698,41.46,4.9,2.5,Female,South,Sports,2,Occasional Buyers,-1.0968419003414285,-0.15442523535015035
C1273,57,104429,93.0,9.1,6.8,Male,South,Sports,0,Premium Loyalists,2.7253205976351795,-0.7144377936628048
C1274,33,64194,47.03,5.5,3.7,Female,North,Electronics,2,Occasional Buyers,-0.5653524343754386,-0.2844968615588702
C1275,28,27611,19.7,1.0,1.2,Female,North,Home,1,Budget Shoppers,-2.8031882732853646,-0.39384338057912166
C1276,58,88975,85.09,7.5,7.3,Female,West,Sports,0,Premium Loyalists,2.2357625727709,-0.9206437255507552
C1277,40,84382,54.98,12.8,6.6,Male,East,Sports,3,Regular Customers,1.4983918866506802,0.7983004037522824
C1278,50,68626,73.12,6.6,6.0,Female,North,Home,3,Regular Customers,1.058345999637456,-0.7309089694987625
C1279,23,37207,19.69,2.5,1.1,Male,West,Electronics,1,Budget Shoppers,-2.6465697814990135,-0.10533846239029934
C1280,39,64274,28.99,5.1,3.5,Male,East,Home,2,Occasional Buyers,-0.7320843351024543,0.01926752960038623
C1281,37,56688,30.07,8.2,1.7,Male,North,Electronics,2,Occasional Buyers,-0.8569970078801776,0.8694278745646662
C1282,58,97329,89.14,10.6,5.3,Male,West,Fashion,0,Premium Loyalists,2.4968576503968927,-0.1348832866249023
C1283,37,43746,26.33,8.0,3.9,Female,West,Electronics,2,Occasional Buyers,-0.8322261158681645,0.6896623404890917
C1284,50,97629,90.01,18.7,11.1,Male,East,Fashion,0,Premium Loyalists,4.091465202653658,0.9224728943401155
C1285,57,71371,72.3,7.7,7.5,Male,West,Fashion,3,Regular Customers,1.7118616162533098,-0.6186602353205853
C1286,51,90795,50.91,6.8,3.4,Female,East,Electronics,3,Regular Customers,0.7391553932678678,-0.03316161482522117
C1287,56,71407,88.42,9.8,3.6,Male,East,Grocery,3,Regular Customers,1.567338512277964,-0.054548367782455066
C1288,27,65763,31.28,4.7,2.7,Female,East,Electronics,2,Occasional Buyers,-1.268021343480608,-0.0782894750323781
C1289,29,56584,56.78,4.0,4.3,Male,South,Sports,2,Occasional Buyers,-0.7620469200746254,-0.8555679652471756
C1290,42,71122,62.62,5.7,7.3,Female,West,Sports,3,Regular Customers,0.7461863507289098,-0.9064170153679669
C1291,32,76059,30.48,8.7,3.4,Female,East,Grocery,2,Occasional Buyers,-0.3389681233875168,0.71627192991348
C1292,48,75297,69.83,9.0,2.7,Male,North,Fashion,3,Regular Customers,0.8045190977874691,0.18051835532943375
C1293,58,97239,84.83,10.1,8.7,Male,South,Grocery,0,Premium Loyalists,2.908293502783516,-0.5294869673335488
C1294,19,27449,19.35,2.0,1.0,Male,South,Sports,1,Budget Shoppers,-3.050148704502737,-0.18906497744135004
C1295,32,26131,24.9,3.1,0.5,Female,West,Grocery,1,Budget Shoppers,-2.4702208583449825,0.05506391937538659
C1296,68,102294,81.03,9.6,9.1,Male,East,Electronics,0,Premium Loyalists,3.3014941533230395,-0.5773737479907144
C1297,28,27895,17.04,2.7,1.1,Male,West,Grocery,1,Budget Shoppers,-2.6629691756040232,0.03176166190664911
C1298,35,67236,50.06,4.3,3.0,Male,South,Fashion,2,Occasional Buyers,-0.6363521467431941,-0.5223106918786953
C1299,40,81329,67.75,9.5,5.6,Male,East,Electronics,3,Regular Customers,1.1171478982349383,-0.03650803876653143
C1300,26,31972,24.35,4.5,1.1,Female,North,Home,1,Budget Shoppers,-2.327887388995972,0.261061793319947
C1301,25,27115,28.38,1.0,0.1,Female,East,Sports,1,Budget Shoppers,-2.948866784529216,-0.45078064208644336
C1302,41,72860,67.56,8.6,4.0,Male,South,Sports,3,Regular Customers,0.632737662585273,-0.02766605992200651
C1303,30,45967,61.7,6.0,2.6,Male,North,Grocery,2,Occasional Buyers,-0.8821755753459684,-0.3051064918051623
C1304,27,23007,20.48,2.2,0.6,Female,East,Electronics,1,Budget Shoppers,-2.8690428075012626,-0.07908583879678678
C1305,42,81487,67.77,8.3,2.8,Female,North,Home,3,Regular Customers,0.6060892751901497,0.01781571492790613
C1306,62,91306,103.91,17.2,9.6,Male,North,Electronics,0,Premium Loyalists,4.224200392992071,0.5663451081187023
C1307,42,70056,52.66,7.8,3.0,Male,South,Sports,3,Regular Customers,0.1129353793141704,0.20299439369080943
C1308,46,57462,30.75,7.0,2.6,Male,North,Electronics,2,Occasional Buyers,-0.5042423699118671,0.5379530783693619
C1309,19,33756,23.39,4.9,0.4,Female,West,Home,1,Budget Shoppers,-2.626573092972707,0.4068220219926454
C1310,56,77623,95.49,10.6,8.0,Male,South,Grocery,0,Premium Loyalists,2.5976082397015134,-0.5098076669238294
C1311,26,27923,17.21,4.1,1.3,Female,West,Fashion,1,Budget Shoppers,-2.5377601744005256,0.2987040148695679
C1312,34,52258,46.25,5.2,2.7,Female,North,Electronics,2,Occasional Buyers,-0.9592006366450523,-0.19247712260908562
C1313,26,31855,31.81,3.8,0.8,Female,West,Fashion,1,Budget Shoppers,-2.332776076002845,0.0020871698789072537
C1314,62,82158,68.28,10.9,8.5,Male,East,Sports,0,Premium Loyalists,2.551531267924566,0.03150078250948961
C1315,26,30646,22.92,6.2,0.7,Male,North,Grocery,1,Budget Shoppers,-2.244810310863955,0.6997818998665254
C1316,35,54544,70.74,5.1,2.8,Male,East,Grocery,2,Occasional Buyers,-0.4633519795423946,-0.6907481644356629
C1317,42,77076,102.39,9.2,6.5,Male,West,Electronics,3,Regular Customers,1.8031355169060512,-0.8371873620396394
C1318,33,45222,33.12,3.6,0.8,Female,East,Grocery,1,Budget Shoppers,-1.8352273425028978,-0.06780529810984662
C1319,48,117159,87.19,13.9,7.0,Female,North,Electronics,0,Premium Loyalists,3.1276232372370925,0.33526182630760226
C1320,40,43732,51.52,8.2,1.7,Female,East,Electronics,2,Occasional Buyers,-0.6290067592476564,0.5064344898565286
C1321,50,100481,86.86,20.0,8.5,Female,West,Fashion,0,Premium Loyalists,3.8255446828011013,1.5368505627290354
C1322,24,32716,15.41,3.6,1.1,Male,West,Grocery,1,Budget Shoppers,-2.639921896772283,0.22712487499503856
C1323,42,41761,56.57,5.2,2.4,Male,West,Electronics,2,Occasional Buyers,-0.7427230323262645,-0.2961213331209786
C1324,26,60946,49.97,7.2,2.8,Male,North,Fashion,2,Occasional Buyers,-0.7740731229527704,0.10016215467928404
C1325,28,59927,48.84,3.3,1.6,Female,West,Home,2,Occasional Buyers,-1.381672876412834,-0.5742598140772613
C1326,39,100269,75.17,10.9,3.6,Female,North,Fashion,3,Regular Customers,1.400502290265673,0.29058793572050096
C1327,38,52818,45.19,6.9,4.5,Female,East,Fashion,2,Occasional Buyers,-0.3404053186363775,0.012922173752418931
C1328,36,47173,28.56,5.3,3.8,Male,West,Electronics,2,Occasional Buyers,-1.0935109737458164,0.0660398704248884
C1329,21,27561,19.8,3.9,0.8,Male,East,Sports,1,Budget Shoppers,-2.782218611121626,0.24032196916833934
C1330,23,25478,11.82,1.9,0.8,Female,South,Sports,1,Budget Shoppers,-3.114551272919772,-0.02399649173031562
C1331,38,60773,47.16,6.8,2.8,Male,East,Sports,2,Occasional Buyers,-0.44243280222430553,0.11956716109051761
C1332,39,44680,52.17,10.1,1.8,Female,South,Fashion,2,Occasional Buyers,-0.4012890162436804,0.8845482522407596
C1333,53,82077,81.37,9.1,5.5,Female,East,Electronics,3,Regular Customers,1.7628204842392172,-0.31594906149535795
C1334,53,90279,89.66,11.0,8.4,Female,North,Grocery,0,Premium Loyalists,2.7375631718283286,-0.40008031137038574
C1335,57,103955,107.02,8.6,9.7,Male,East,Fashion,0,Premium Loyalists,3.358945844815045,-1.4016542378142858
C1336,35,62392,47.69,7.0,2.4,Male,North,Fashion,2,Occasional Buyers,-0.5513581193819479,0.17910954792557607
C1337,35,58266,43.94,6.0,1.0,Male,North,Electronics,2,Occasional Buyers,-1.0302977949703402,0.1975752881010672
C1338,43,117573,94.68,13.5,6.0,Male,West,Home,0,Premium Loyalists,2.877317627062218,0.19339675210026985
C1339,59,103508,64.69,13.9,5.5,Male,North,Fashion,0,Premium Loyalists,2.6470241052000794,1.0052329767515933
C1340,22,31241,23.44,3.7,0.4,Female,South,Home,1,Budget Shoppers,-2.7036327994218965,0.16719633644471424
C1341,41,85441,55.91,7.8,4.9,Female,West,Home,3,Regular Customers,0.721896564428864,-0.10634674422023521
C1342,45,69827,65.85,8.7,5.7,Male,West,Sports,3,Regular Customers,0.9734770692876158,-0.133908573170845
C1343,50,105528,48.31,13.5,7.9,Male,East,Electronics,0,Premium Loyalists,2.424511664193653,0.9260260316579155
C1344,28,31119,28.41,4.1,0.9,Male,North,Home,1,Budget Shoppers,-2.281902516309811,0.1305095212942922
C1345,24,31634,20.61,3.3,1.0,Male,North,Electronics,1,Budget Shoppers,-2.622852511554213,0.07750776175780867
C1346,31,55473,57.12,5.4,2.4,Female,South,Sports,2,Occasional Buyers,-0.848012480337824,-0.3438536391699223
C1347,43,66053,72.12,10.8,6.3,Male,East,Electronics,3,Regular Customers,1.2754361625299817,0.13325347641833085
C1348,44,66676,56.81,11.8,4.4,Male,East,Fashion,3,Regular Customers,0.8759271607078651,0.8476147753256673
C1349,35,42974,46.51,6.9,3.2,Male,West,Home,2,Occasional Buyers,-0.816088309588629,0.13986514414397128
C1350,58,110949,57.96,12.9,9.5,Female,West,Electronics,0,Premium Loyalists,3.1603198242480692,0.4616354670996851
C1351,24,30546,39.23,3.3,0.9,Female,West,Grocery,1,Budget Shoppers,-2.344933938891764,-0.26235812856016727
C1352,22,31298,24.91,2.5,1.1,Male,South,Electronics,1,Budget Shoppers,-2.7041027274986527,-0.1944743543571983
C1353,37,44756,36.58,7.3,4.5,Female,South,Home,2,Occasional Buyers,-0.6252390155973567,0.27728322782543063
C1354,45,47193,21.08,4.7,1.5,Female,West,Sports,2,Occasional Buyers,-1.3347885201008187,0.367583447592683
C1355,28,47614,48.97,1.0,2.9,Female,East,Sports,2,Occasional Buyers,-1.6656222364146185,-1.1820499958442068
C1356,22,26183,33.82,2.6,0.1,Male,South,Home,1,Budget Shoppers,-2.7972284114517554,-0.22117282680391898
C1357,30,64968,54.11,5.5,4.0,Female,East,Fashion,2,Occasional Buyers,-0.49064564273399114,-0.46617994597089285
C1358,53,61206,44.42,8.4,5.2,Female,East,Fashion,3,Regular Customers,0.6226763404235443,0.3177599959699947
C1359,24,40377,5.0,2.3,0.9,Female,North,Sports,1,Budget Shoppers,-2.8547493947940565,0.14888232129441561
C1360,31,40273,40.45,5.8,3.1,Female,West,Sports,2,Occasional Buyers,-1.2540166448911947,0.01890049315038321
C1361,36,46351,37.78,7.7,5.0,Female,North,Home,2,Occasional Buyers,-0.4850390579658304,0.2779451699128426
C1362,48,87557,81.29,5.8,5.8,Male,West,Fashion,3,Regular Customers,1.3527962984301953,-1.0901026886953242
C1363,23,34348,36.71,2.4,0.6,Female,West,Sports,1,Budget Shoppers,-2.5040327221125036,-0.38860483818352715
C1364,45,78344,51.0,11.3,2.4,Female,East,Fashion,3,Regular Customers,0.6533805430270486,1.0439714351754446
C1365,56,112281,90.59,12.3,9.8,Female,West,Sports,0,Premium Loyalists,3.6430486396208277,-0.3307536375377613
C1366,31,27038,27.16,3.7,1.0,Male,East,Electronics,1,Budget Shoppers,-2.301899310535494,0.08020118028044677
C1367,44,70655,73.05,5.4,8.0,Female,East,Grocery,3,Regular Customers,1.0621802546606112,-1.2350596227181752
C1368,50,67690,40.8,10.6,5.8,Female,West,Electronics,3,Regular Customers,0.9243986660530263,0.7650938041368254
C1369,38,70544,65.97,9.3,5.0,Male,East,Sports,3,Regular Customers,0.6962011391660798,0.03685928634526005
C1370,32,49984,36.17,6.2,2.5,Female,East,Grocery,2,Occasional Buyers,-1.159735747853618,0.23208707861214867
C1371,26,30092,19.62,3.8,1.5,Female,East,Grocery,1,Budget Shoppers,-2.4593456030245715,0.16162723005642873
C1372,20,32504,14.79,4.5,0.9,Female,South,Sports,1,Budget Shoppers,-2.7254118971403605,0.43715255512639317
C1373,48,61646,62.71,8.8,4.0,Male,East,Sports,3,Regular Customers,0.6152349456089111,0.16434783443127585
C1374,75,75993,64.03,9.7,5.3,Male,South,Fashion,0,Premium Loyalists,2.17953842930423,0.27275140241271917
C1375,32,53993,35.95,8.6,4.1,Female,South,Sports,2,Occasional Buyers,-0.5567406484633572,0.5680648783381277
C1376,57,93923,69.55,13.7,9.7,Male,East,Home,0,Premium Loyalists,3.127588386010595,0.4283843667689548
C1377,49,100372,92.12,12.7,8.9,Female,East,Sports,0,Premium Loyalists,3.0997224518944506,-0.17757904354084258
C1378,44,85654,62.2,7.0,3.3,Female,South,Home,3,Regular Customers,0.5911983224851977,-0.21130460487127575
C1379,28,59141,37.21,4.1,4.6,Female,South,Sports,2,Occasional Buyers,-1.0208819828107618,-0.5057573940341429
C1380,29,28984,7.39,3.3,1.0,Male,East,Fashion,1,Budget Shoppers,-2.7167026655112507,0.3562271409734844
C1381,28,42546,45.59,6.8,2.0,Female,East,Home,2,Occasional Buyers,-1.2927419227572285,0.23715468017042482
C1382,57,105469,101.12,10.8,10.8,Male,West,Electronics,0,Premium Loyalists,3.7167596610034606,-0.9405171785938339
C1383,22,32394,25.82,3.4,1.3,Male,South,Home,1,Budget Shoppers,-2.5327428099532168,-0.04289317228154365
C1384,40,81818,76.13,8.9,5.0,Male,South,Fashion,3,Regular Customers,1.1026212580792485,-0.26034874619651194
C1385,58,110341,92.94,13.1,7.5,Male,West,Home,0,Premium Loyalists,3.4425394376310705,0.059450142877398124
C1386,46,97925,88.84,15.3,7.1,Female,South,Sports,0,Premium Loyalists,2.9035537534655536,0.6313225756414029
C1387,44,86890,76.39,10.8,3.0,Female,North,Sports,3,Regular Customers,1.243300813771084,0.36479611029909165
C1388,55,86692,67.05,8.8,4.0,Male,South,Fashion,3,Regular Customers,1.4041619355650392,0.05179273672877195
C1389,48,72182,74.0,9.0,6.3,Female,West,Grocery,3,Regular Customers,1.3923096261219268,-0.28211276871914237
C1390,35,59744,25.88,6.3,3.2,Male,North,Sports,2,Occasional Buyers,-0.9213263816592769,0.3621995284982883
C1391,21,30496,17.44,2.0,1.3,Female,East,Electronics,1,Budget Shoppers,-2.906362170464204,-0.18414408799462378
C1392,70,82681,99.31,14.2,10.3,Female,West,Fashion,0,Premium Loyalists,4.038085284980871,-0.011309934940143842
C1393,36,43739,35.95,9.2,2.2,Female,West,Home,2,Occasional Buyers,-0.8392484101857597,0.9450767588366261
C1394,54,101837,103.22,15.2,9.0,Male,East,Home,0,Premium Loyalists,3.7966300451604575,0.15555855352426226
C1395,44,90475,66.79,10.6,2.7,Female,West,Electronics,3,Regular Customers,1.0770360160012282,0.5279938341657482
C1396,31,38382,23.82,1.7,1.6,Male,South,Sports,1,Budget Shoppers,-2.28170742490871,-0.3782277379929655
C1397,36,64012,19.16,6.7,4.7,Female,East,Fashion,2,Occasional Buyers,-0.6338119866934708,0.40670515415413716
C1398,41,69691,57.68,12.2,3.6,Male,West,Electronics,3,Regular Customers,0.7578071384412913,0.983725378073716
C1399,44,87065,83.01,10.1,5.3,Female,East,Sports,3,Regular Customers,1.6452210647227463,-0.1613246045542052
C1400,68,82980,107.76,13.1,5.5,Female,East,Fashion,0,Premium Loyalists,3.2209571070050034,0.10420945598342368
C1401,28,33424,31.84,5.6,1.4,Female,East,Home,1,Budget Shoppers,-1.9284882726333912,0.3275838816145298
C1402,30,47083,48.63,5.1,1.8,Male,North,Fashion,2,Occasional Buyers,-1.3134403544787672,-0.16608849258933833
C1403,56,96595,73.43,8.8,7.5,Female,West,Grocery,0,Premium Loyalists,2.291078410289244,-0.4689414726508269
C1404,23,32885,25.22,2.0,1.0,Male,North,Fashion,1,Budget Shoppers,-2.7072304284253472,-0.29635792129771216
C1405,49,88337,85.53,8.3,9.1,Female,West,Grocery,0,Premium Loyalists,2.289895410682995,-0.9898652697958336
C1406,39,52960,61.61,4.0,2.2,Male,South,Fashion,2,Occasional Buyers,-0.7266550550426686,-0.667480767758223
C1407,30,59848,45.49,5.5,3.5,Male,South,Grocery,2,Occasional Buyers,-0.8112166009497613,-0.2359786634871423
C1408,23,31352,30.54,1.9,0.2,Female,South,Home,1,Budget Shoppers,-2.785368780473596,-0.32820546869690614
C1409,26,30240,20.96,4.5,1.6,Male,West,Sports,1,Budget Shoppers,-2.3373810852275634,0.275254953580564
C1410,53,113040,54.47,14.2,7.2,Male,East,Grocery,0,Premium Loyalists,2.7439839180595795,1.030240407691783
C1411,36,50818,46.5,6.7,4.8,Male,East,Grocery,2,Occasional Buyers,-0.4019795145274979,-0.09123251877479922
C1412,38,50625,72.49,5.8,3.2,Male,North,Home,2,Occasional Buyers,-0.25508298169865745,-0.5948149745337332
C1413,24,42228,21.2,2.8,1.4,Female,North,Grocery,1,Budget Shoppers,-2.4095112783305774,-0.10995857244810395
C1414,33,55586,30.27,6.8,4.5,Female,South,Electronics,2,Occasional Buyers,-0.7306271103825795,0.24645303737811053
C1415,30,58771,59.24,3.1,3.8,Male,North,Home,2,Occasional Buyers,-0.827742687444945,-1.0421216146353638
C1416,52,98348,96.7,10.4,8.5,Male,West,Electronics,0,Premium Loyalists,2.9175982476597304,-0.6970502698178086
C1417,45,63233,35.36,7.6,1.8,Male,West,Home,2,Occasional Buyers,-0.41358047730497377,0.6479848642925918
C1418,45,50910,31.24,8.2,3.5,Male,North,Grocery,2,Occasional Buyers,-0.3714813563414164,0.699986775159
C1419,37,38344,28.17,5.7,2.7,Female,North,Electronics,2,Occasional Buyers,-1.3583513120371793,0.30431782927181816
C1420,60,76693,70.48,13.1,8.6,Female,North,Grocery,0,Premium Loyalists,2.6849776875255023,0.45573826601698597
C1421,46,74298,48.45,9.6,4.1,Male,North,Home,3,Regular Customers,0.6467094494832821,0.556805468042228
C1422,33,49194,30.31,6.5,3.1,Male,South,Grocery,2,Occasional Buyers,-1.107150403769306,0.34872262389155956
C1423,61,112325,126.83,10.0,6.6,Male,South,Electronics,0,Premium Loyalists,3.657397812493313,-1.143304816364309
C1424,23,31668,20.42,3.9,0.4,Female,North,Electronics,1,Budget Shoppers,-2.687911674130176,0.27070820043594407
C1425,26,25112,16.13,3.6,0.1,Female,West,Grocery,1,Budget Shoppers,-2.8576434246271285,0.34895470905845344
C1426,25,23776,11.57,4.6,1.3,Male,South,Fashion,1,Budget Shoppers,-2.6881523394338567,0.5187529842135994
C1427,37,51584,50.44,8.1,3.6,Male,West,Home,2,Occasional Buyers,-0.31611406701684686,0.26732907925532773
C1428,21,30909,23.06,3.4,0.7,Female,East,Home,1,Budget Shoppers,-2.7385176957717405,0.07392599494367269
C1429,21,36778,18.88,2.2,1.6,Female,West,Grocery,1,Budget Shoppers,-2.694242610889106,-0.2162319116456008
C1430,32,56494,45.41,8.0,2.1,Male,North,Fashion,2,Occasional Buyers,-0.7393817205797125,0.47094159636847915
C1431,46,99424,61.16,14.1,6.6,Male,East,Electronics,0,Premium Loyalists,2.246323379529096,0.9496817245781085
C1432,19,17641,18.62,2.4,0.6,Male,South,Sports,1,Budget Shoppers,-3.262750043602849,-0.022300597250696177
C1433,50,78681,54.41,7.3,5.4,Female,South,Sports,3,Regular Customers,0.9144346494693053,-0.18460926783109574
C1434,24,29722,21.74,1.4,0.9,Male,East,Grocery,1,Budget Shoppers,-2.8741644999697415,-0.33635964009853747
C1435,47,67017,90.68,8.6,4.2,Male,West,Fashion,3,Regular Customers,1.1602503062057683,-0.4483017862456664
C1436,22,26015,27.07,3.5,1.6,Female,South,Fashion,1,Budget Shoppers,-2.5708352807526222,-0.06238169489178713
C1437,38,53845,41.1,8.3,3.6,Male,North,Home,2,Occasional Buyers,-0.372905904667561,0.4863606499427491
C1438,36,52313,41.43,6.0,3.2,Female,East,Electronics,2,Occasional Buyers,-0.7960537716923273,0.024883375366512125
C1439,54,94452,102.29,15.4,6.4,Male,North,Fashion,0,Premium Loyalists,3.251067609382859,0.5162936925081417
C1440,39,49297,57.27,8.6,4.6,Male,East,Sports,2,Occasional Buyers,0.04538055920508375,0.15053928078558426
C1441,31,68323,51.83,7.9,2.6,Female,South,Electronics,2,Occasional Buyers,-0.3783544446195969,0.24058531704533917
C1442,57,80597,53.21,9.2,4.3,Male,West,Electronics,3,Regular Customers,1.2227102002689332,0.39097000027129664
C1443,38,58193,55.74,7.7,2.5,Female,East,Grocery,2,Occasional Buyers,-0.2899578686212695,0.1887465207622927
C1444,32,70105,97.36,6.5,5.5,Female,East,Fashion,3,Regular Customers,0.760873621672017,-1.2389258642758938
C1445,49,89469,85.85,12.2,5.3,Male,North,Grocery,0,Premium Loyalists,2.15818700154354,0.2512910391993962
C1446,66,113929,118.97,13.5,6.2,Female,South,Fashion,0,Premium Loyalists,4.072277965345564,-0.18172429387079275
C1447,28,18944,16.05,3.0,0.8,Male,North,Home,1,Budget Shoppers,-2.859551895984471,0.16906954094506743
C1448,28,27703,28.24,3.2,0.7,Female,South,Grocery,1,Budget Shoppers,-2.4839289067221957,-0.029532613588838404
C1449,67,76721,44.61,9.2,9.0,Male,North,Grocery,0,Premium Loyalists,2.1136594944028095,0.095976800423037
C1450,30,50394,51.7,9.3,3.4,Female,East,Sports,2,Occasional Buyers,-0.4606085233635241,0.49555284838419944
C1451,20,33628,19.54,2.2,0.5,Male,North,Grocery,1,Budget Shoppers,-2.9532003998509415,-0.10600228805519449
C1452,62,109340,61.19,18.2,4.9,Male,West,Fashion,0,Premium Loyalists,3.202885567086802,2.058776921196791
C1453,36,60569,34.84,11.2,1.4,Female,South,Sports,2,Occasional Buyers,-0.44245728715822713,1.441888996381619
C1454,19,35031,21.8,1.8,1.0,Female,South,Grocery,1,Budget Shoppers,-2.890827754776303,-0.2967346144237078
C1455,28,26740,16.13,2.5,1.5,Male,East,Grocery,1,Budget Shoppers,-2.6589084312230806,-0.03456971414196521
C1456,48,101870,90.67,9.8,8.7,Male,South,Home,0,Premium Loyalists,2.701456307639305,-0.7588009018637024
C1457,24,27564,23.15,2.5,1.1,Female,West,Grocery,1,Budget Shoppers,-2.731857227416979,-0.1435026441492921
C1458,31,61585,59.27,4.1,3.1,Female,North,Electronics,2,Occasional Buyers,-0.7359071961010496,-0.7544639027400364
C1459,49,77670,49.02,4.7,6.3,Male,East,Sports,3,Regular Customers,0.6133922299129307,-0.7400940736933538
C1460,39,50640,36.38,1.7,3.9,Male,West,Electronics,2,Occasional Buyers,-1.1886562058314498,-0.8615102061410487
C1461,45,81585,58.35,6.8,3.3,Male,South,Sports,3,Regular Customers,0.4632231698558498,-0.16709563336792632
C1462,26,28650,20.63,3.6,1.3,Female,South,Home,1,Budget Shoppers,-2.5241266951759735,0.1247167834146357
C1463,44,77342,59.94,9.7,5.9,Male,West,Grocery,3,Regular Customers,1.1249903784545965,0.14882251114524864
C1464,47,64189,66.23,9.4,3.8,Male,North,Grocery,3,Regular Customers,0.7233641073157094,0.23766491939815623
C1465,49,76965,73.37,10.8,5.7,Female,North,Grocery,3,Regular Customers,1.6177549232399482,0.1742123261598302
